location,currency,month,exchange_rate_to_INR,accommodation_type,travel_purpose,traveler_type,tags,average_days,hotel_cost_on_season_INR,hotel_cost_off_season_INR,hotel_cost_on_season_local,hotel_cost_off_season_local,transport_options,transport_cost_on_season_INR,transport_cost_off_season_INR,transport_cost_on_season_local,transport_cost_off_season_local,extra_expenses_INR,extra_expenses_local,total_budget_on_season_INR,total_budget_off_season_INR
Sydney,AUD,January,55.0,Airbnb,Leisure,Budget Traveler,romantic,6,12513.7,13249.8,227.52,240.91,Car Rental,8416.7,8911.8,153.03,162.03,1163.57,21.16,22093.97,23325.17
Kerala,INR,December,1.0,Resort,Business,Luxury Traveler,"solo, romantic",7,10286.4,7714.8,10286.4,7714.8,Bus,4129.2,3096.9,4129.2,3096.9,7272.24,7272.24,21687.84,18083.94
Rishikesh,INR,February,1.0,Hotel,Leisure,Family Traveler,"cultural, family, romantic",7,4699.65,4976.1,4699.65,4976.1,Car Rental,2941.85,3114.9,2941.85,3114.9,3874.75,3874.75,11516.25,11965.75
Singapore,SGD,October,62.0,Hostel,Adventure,Budget Traveler,"adventure, romantic",6,3546.0,3191.4,57.19,51.47,Flight,11367.0,10230.3,183.34,165.0,1506.72,24.3,16419.72,14928.42
Tokyo,JPY,September,0.55,Hotel,Leisure,Budget Traveler,adventure,3,7381.4,7815.6,13420.73,14210.18,Flight,12223.0,12942.0,22223.64,23530.91,4600.61,8364.75,24205.01,25358.21
Bangkok,THB,November,2.4,Airbnb,Business,Backpacker,cultural,3,9100.0,8190.0,3791.67,3412.5,Bus,13655.0,12289.5,5689.58,5120.62,4519.43,1883.1,27274.43,24998.93
New York,USD,October,83.0,Airbnb,Adventure,Family Traveler,"solo, cultural",3,18151.0,16335.9,218.69,196.82,Train,4900.0,4410.0,59.04,53.13,1830.91,22.06,24881.91,22576.81
Paris,EUR,November,90.0,Hotel,Pilgrimage,Backpacker,"family, romantic",5,2949.0,2654.1,32.77,29.49,Bus,7378.0,6640.2,81.98,73.78,2970.15,33.0,13297.15,12264.45
Manali,INR,May,1.0,Hostel,Adventure,Backpacker,adventure,14,18591.6,13943.7,18591.6,13943.7,Train,7231.2,5423.4,7231.2,5423.4,5328.97,5328.97,31151.77,24696.07
Manali,INR,June,1.0,Hostel,Business,Backpacker,solo,13,20112.0,15084.0,20112.0,15084.0,Bus,16677.6,12508.2,16677.6,12508.2,8173.57,8173.57,44963.17,35765.77
Jaipur,INR,November,1.0,Resort,Adventure,Budget Traveler,"adventure, cultural, family",13,2048.0,1843.2,2048.0,1843.2,Flight,5341.0,4806.9,5341.0,4806.9,5490.31,5490.31,12879.31,12140.41
Leh,INR,February,1.0,Hostel,Business,Business Traveler,"solo, romantic, adventure",11,15831.25,16762.5,15831.25,16762.5,Bus,5901.55,6248.7,5901.55,6248.7,6999.52,6999.52,28732.32,30010.72
Goa,INR,January,1.0,Resort,Leisure,Luxury Traveler,"cultural, romantic",11,16037.8,16981.2,16037.8,16981.2,Train,10701.5,11331.0,10701.5,11331.0,6520.48,6520.48,33259.78,34832.68
Paris,EUR,August,90.0,Airbnb,Adventure,Budget Traveler,solo,10,2776.0,2498.4,30.84,27.76,Car Rental,5011.0,4509.9,55.68,50.11,4427.55,49.2,12214.55,11435.85
Cape Town,ZAR,June,4.5,Hotel,Leisure,Business Traveler,"solo, family, adventure",10,10470.0,7852.5,2326.67,1745.0,Bus,15403.2,11552.4,3422.93,2567.2,1429.4,317.64,27302.6,20834.3
New York,USD,January,83.0,Hotel,Leisure,Luxury Traveler,"adventure, solo, family",4,10596.1,11219.4,127.66,135.17,Flight,2072.3,2194.2,24.97,26.44,7166.95,86.35,19835.35,20580.55
New York,USD,September,83.0,Hotel,Adventure,Luxury Traveler,"family, romantic, adventure",13,11665.4,12351.6,140.55,148.81,Flight,5513.95,5838.3,66.43,70.34,6420.55,77.36,23599.9,24610.45
Bangkok,THB,March,2.4,Hotel,Adventure,Luxury Traveler,"romantic, adventure",14,12430.0,11187.0,5179.17,4661.25,Bus,6854.0,6168.6,2855.83,2570.25,3082.87,1284.53,22366.87,20438.47
Jaipur,INR,March,1.0,Airbnb,Adventure,Budget Traveler,"family, cultural, solo",4,19762.0,17785.8,19762.0,17785.8,Train,8798.0,7918.2,8798.0,7918.2,1624.51,1624.51,30184.51,27328.51
Jaipur,INR,August,1.0,Hotel,Adventure,Backpacker,"family, cultural, adventure",4,16133.0,14519.7,16133.0,14519.7,Car Rental,3295.0,2965.5,3295.0,2965.5,2052.69,2052.69,21480.69,19537.89
Leh,INR,November,1.0,Hotel,Leisure,Business Traveler,"cultural, romantic, adventure",5,15478.0,13930.2,15478.0,13930.2,Flight,14826.0,13343.4,14826.0,13343.4,1502.62,1502.62,31806.62,28776.22
Kerala,INR,February,1.0,Resort,Adventure,Budget Traveler,adventure,6,6286.6,6656.4,6286.6,6656.4,Car Rental,11157.1,11813.4,11157.1,11813.4,2953.27,2953.27,20396.97,21423.07
Dubai,AED,November,22.5,Airbnb,Adventure,Family Traveler,"family, adventure, romantic",6,14785.0,13306.5,657.11,591.4,Flight,12158.0,10942.2,540.36,486.32,4504.91,200.22,31447.91,28753.61
London,GBP,May,105.0,Hotel,Business,Budget Traveler,"adventure, romantic, cultural",5,13470.0,10102.5,128.29,96.21,Bus,9528.0,7146.0,90.74,68.06,2535.39,24.15,25533.39,19783.89
Cape Town,ZAR,November,4.5,Hotel,Business,Family Traveler,"romantic, family, cultural",12,2446.0,2201.4,543.56,489.2,Car Rental,7115.0,6403.5,1581.11,1423.0,6795.6,1510.13,16356.6,15400.5
Singapore,SGD,March,62.0,Airbnb,Leisure,Family Traveler,"family, adventure",5,12857.0,11571.3,207.37,186.63,Flight,8800.0,7920.0,141.94,127.74,4612.38,74.39,26269.38,24103.68
Dubai,AED,October,22.5,Airbnb,Adventure,Family Traveler,"solo, romantic, family",10,4607.0,4146.3,204.76,184.28,Flight,7231.0,6507.9,321.38,289.24,7644.0,339.73,19482.0,18298.2
Dubai,AED,December,22.5,Hotel,Business,Backpacker,family,9,16872.0,12654.0,749.87,562.4,Car Rental,5091.6,3818.7,226.29,169.72,5803.25,257.92,27766.85,22275.95
Leh,INR,September,1.0,Hostel,Business,Luxury Traveler,"cultural, solo, romantic",15,10208.5,10809.0,10208.5,10809.0,Flight,3246.15,3437.1,3246.15,3437.1,3181.51,3181.51,16636.16,17427.61
Kerala,INR,November,1.0,Airbnb,Pilgrimage,Luxury Traveler,"romantic, family, solo",8,17039.0,15335.1,17039.0,15335.1,Bus,4323.0,3890.7,4323.0,3890.7,4372.92,4372.92,25734.92,23598.72
Cape Town,ZAR,February,4.5,Hostel,Business,Business Traveler,romantic,8,8501.7,9001.8,1889.27,2000.4,Flight,2760.8,2923.2,613.51,649.6,3693.43,820.76,14955.93,15618.43
Manali,INR,March,1.0,Airbnb,Adventure,Budget Traveler,solo,3,11195.0,10075.5,11195.0,10075.5,Car Rental,2570.0,2313.0,2570.0,2313.0,2527.61,2527.61,16292.61,14916.11
Tokyo,JPY,March,0.55,Hostel,Pilgrimage,Family Traveler,"solo, romantic, family",10,4741.0,4266.9,8620.0,7758.0,Train,6120.0,5508.0,11127.27,10014.55,3120.28,5673.24,13981.28,12895.18
Istanbul,EUR,January,90.0,Resort,Adventure,Business Traveler,"cultural, adventure",14,5233.45,5541.3,58.15,61.57,Train,7226.7,7651.8,80.3,85.02,1378.3,15.31,13838.45,14571.4
Singapore,SGD,November,62.0,Resort,Pilgrimage,Luxury Traveler,"solo, adventure",7,16288.0,14659.2,262.71,236.44,Bus,12116.0,10904.4,195.42,175.88,6763.32,109.09,35167.32,32326.92
Rome,EUR,March,90.0,Hotel,Adventure,Business Traveler,"solo, cultural, family",6,16654.0,14988.6,185.04,166.54,Flight,13076.0,11768.4,145.29,130.76,4057.28,45.08,33787.28,30814.28
Istanbul,EUR,June,90.0,Hotel,Pilgrimage,Luxury Traveler,solo,8,4275.6,3206.7,47.51,35.63,Train,14739.6,11054.7,163.77,122.83,7596.72,84.41,26611.92,21858.12
Goa,INR,December,1.0,Hostel,Leisure,Family Traveler,"family, cultural, romantic",14,13486.8,10115.1,13486.8,10115.1,Train,4598.4,3448.8,4598.4,3448.8,1999.35,1999.35,20084.55,15563.25
Tokyo,JPY,April,0.55,Airbnb,Pilgrimage,Business Traveler,"cultural, adventure, family",4,8953.0,8057.7,16278.18,14650.36,Car Rental,3330.0,2997.0,6054.55,5449.09,4268.6,7761.09,16551.6,15323.3
Manali,INR,August,1.0,Hotel,Pilgrimage,Family Traveler,"solo, cultural",11,5751.0,5175.9,5751.0,5175.9,Bus,3335.0,3001.5,3335.0,3001.5,6309.07,6309.07,15395.07,14486.47
Sydney,AUD,August,55.0,Airbnb,Leisure,Business Traveler,romantic,3,6206.0,5585.4,112.84,101.55,Car Rental,5430.0,4887.0,98.73,88.85,6252.6,113.68,17888.6,16725.0
Rishikesh,INR,July,1.0,Resort,Pilgrimage,Backpacker,"cultural, romantic",9,11877.0,10689.3,11877.0,10689.3,Train,3633.0,3269.7,3633.0,3269.7,2923.47,2923.47,18433.47,16882.47
Kerala,INR,May,1.0,Resort,Leisure,Budget Traveler,"solo, romantic, adventure",10,20553.6,15415.2,20553.6,15415.2,Flight,14518.8,10889.1,14518.8,10889.1,5347.51,5347.51,40419.91,31651.81
Istanbul,EUR,September,90.0,Airbnb,Adventure,Luxury Traveler,"adventure, romantic, cultural",7,8890.15,9413.1,98.78,104.59,Train,10077.6,10670.4,111.97,118.56,3196.19,35.51,22163.94,23279.69
Tokyo,JPY,April,0.55,Airbnb,Pilgrimage,Business Traveler,romantic,6,16469.0,14822.1,29943.64,26949.27,Car Rental,11452.0,10306.8,20821.82,18739.64,7618.06,13851.02,35539.06,32746.96
Jaipur,INR,February,1.0,Hostel,Pilgrimage,Luxury Traveler,"adventure, cultural, romantic",9,16699.95,17682.3,16699.95,17682.3,Bus,8572.25,9076.5,8572.25,9076.5,1481.81,1481.81,26754.01,28240.61
Rome,EUR,May,90.0,Hotel,Adventure,Luxury Traveler,"family, cultural",14,18820.8,14115.6,209.12,156.84,Flight,10413.6,7810.2,115.71,86.78,5023.6,55.82,34258.0,26949.4
Barcelona,EUR,August,90.0,Resort,Leisure,Backpacker,"romantic, cultural, adventure",6,12718.0,11446.2,141.31,127.18,Car Rental,6167.0,5550.3,68.52,61.67,2105.87,23.4,20990.87,19102.37
Rome,EUR,October,90.0,Hotel,Leisure,Backpacker,"romantic, cultural, solo",13,3999.0,3599.1,44.43,39.99,Flight,9301.0,8370.9,103.34,93.01,4209.07,46.77,17509.07,16179.07
Istanbul,EUR,April,90.0,Hotel,Adventure,Luxury Traveler,"cultural, family",4,5403.0,4862.7,60.03,54.03,Train,14217.0,12795.3,157.97,142.17,2927.56,32.53,22547.56,20585.56
Singapore,SGD,August,62.0,Resort,Adventure,Luxury Traveler,"solo, adventure",8,6167.0,5550.3,99.47,89.52,Bus,5732.0,5158.8,92.45,83.21,1389.74,22.42,13288.74,12098.84
Barcelona,EUR,June,90.0,Airbnb,Business,Backpacker,adventure,7,8534.4,6400.8,94.83,71.12,Train,14580.0,10935.0,162.0,121.5,4660.19,51.78,27774.59,21995.99
Leh,INR,January,1.0,Hotel,Business,Business Traveler,"cultural, adventure",7,6847.6,7250.4,6847.6,7250.4,Car Rental,3045.55,3224.7,3045.55,3224.7,1298.69,1298.69,11191.84,11773.79
Singapore,SGD,June,62.0,Resort,Business,Backpacker,"adventure, cultural, solo",13,8548.8,6411.6,137.88,103.41,Car Rental,15838.8,11879.1,255.46,191.6,1386.66,22.37,25774.26,19677.36
Rome,EUR,March,90.0,Airbnb,Business,Luxury Traveler,cultural,12,14253.0,12827.7,158.37,142.53,Car Rental,2049.0,1844.1,22.77,20.49,1374.2,15.27,17676.2,16046.0
Rishikesh,INR,January,1.0,Hotel,Adventure,Budget Traveler,"cultural, adventure",9,12130.35,12843.9,12130.35,12843.9,Bus,11475.0,12150.0,11475.0,12150.0,1054.02,1054.02,24659.37,26047.92
New York,USD,November,83.0,Hotel,Business,Backpacker,solo,9,13509.0,12158.1,162.76,146.48,Flight,3574.0,3216.6,43.06,38.75,2641.98,31.83,19724.98,18016.68
Manali,INR,September,1.0,Hostel,Adventure,Budget Traveler,"family, cultural",14,12152.45,12867.3,12152.45,12867.3,Flight,8121.75,8599.5,8121.75,8599.5,3906.57,3906.57,24180.77,25373.37
Jaipur,INR,December,1.0,Resort,Adventure,Family Traveler,cultural,12,20733.6,15550.2,20733.6,15550.2,Flight,7993.2,5994.9,7993.2,5994.9,1970.03,1970.03,30696.83,23515.13
Cape Town,ZAR,July,4.5,Hotel,Leisure,Luxury Traveler,"family, cultural",7,13588.0,12229.2,3019.56,2717.6,Car Rental,5339.0,4805.1,1186.44,1067.8,1719.34,382.08,20646.34,18753.64
Tokyo,JPY,April,0.55,Hostel,Adventure,Business Traveler,family,3,4577.0,4119.3,8321.82,7489.64,Car Rental,14443.0,12998.7,26260.0,23634.0,7180.8,13056.0,26200.8,24298.8
Bangkok,THB,September,2.4,Resort,Pilgrimage,Luxury Traveler,"adventure, solo, cultural",10,7060.95,7476.3,2942.06,3115.12,Car Rental,11494.55,12170.7,4789.4,5071.13,4647.96,1936.65,23203.46,24294.96
Cape Town,ZAR,August,4.5,Hotel,Business,Budget Traveler,family,11,8993.0,8093.7,1998.44,1798.6,Bus,9735.0,8761.5,2163.33,1947.0,6608.16,1468.48,25336.16,23463.36
Leh,INR,April,1.0,Airbnb,Leisure,Business Traveler,"romantic, solo",5,19354.0,17418.6,19354.0,17418.6,Bus,5145.0,4630.5,5145.0,4630.5,3701.62,3701.62,28200.62,25750.72
Singapore,SGD,November,62.0,Resort,Adventure,Family Traveler,"cultural, romantic",7,9934.0,8940.6,160.23,144.2,Flight,11808.0,10627.2,190.45,171.41,2419.91,39.03,24161.91,21987.71
Jaipur,INR,December,1.0,Resort,Business,Backpacker,"romantic, family",9,9057.6,6793.2,9057.6,6793.2,Train,10020.0,7515.0,10020.0,7515.0,1941.22,1941.22,21018.82,16249.42
Istanbul,EUR,January,90.0,Resort,Leisure,Business Traveler,"solo, romantic, family",13,5383.9,5700.6,59.82,63.34,Flight,2956.3,3130.2,32.85,34.78,3357.07,37.3,11697.27,12187.87
Leh,INR,October,1.0,Hotel,Business,Backpacker,"romantic, solo",13,16000.0,14400.0,16000.0,14400.0,Bus,12346.0,11111.4,12346.0,11111.4,7423.08,7423.08,35769.08,32934.48
Istanbul,EUR,August,90.0,Airbnb,Business,Budget Traveler,"solo, family",13,3085.0,2776.5,34.28,30.85,Car Rental,4235.0,3811.5,47.06,42.35,5958.26,66.2,13278.26,12546.26
London,GBP,August,105.0,Airbnb,Leisure,Backpacker,"solo, romantic",9,8122.0,7309.8,77.35,69.62,Flight,13837.0,12453.3,131.78,118.6,3354.77,31.95,25313.77,23117.87
Manali,INR,July,1.0,Hotel,Leisure,Luxury Traveler,"adventure, cultural, romantic",14,12493.0,11243.7,12493.0,11243.7,Flight,13832.0,12448.8,13832.0,12448.8,3994.72,3994.72,30319.72,27687.22
Istanbul,EUR,September,90.0,Hotel,Adventure,Luxury Traveler,"adventure, family, romantic",8,11079.75,11731.5,123.11,130.35,Car Rental,2862.8,3031.2,31.81,33.68,2522.82,28.03,16465.37,17285.52
Leh,INR,March,1.0,Resort,Pilgrimage,Backpacker,cultural,8,6284.0,5655.6,6284.0,5655.6,Bus,11443.0,10298.7,11443.0,10298.7,2053.45,2053.45,19780.45,18007.75
Singapore,SGD,February,62.0,Hostel,Pilgrimage,Luxury Traveler,"romantic, cultural, adventure",13,15345.9,16248.6,247.51,262.07,Car Rental,6918.15,7325.1,111.58,118.15,4053.45,65.38,26317.5,27627.15
Goa,INR,August,1.0,Hostel,Leisure,Luxury Traveler,"family, adventure, romantic",7,9087.0,8178.3,9087.0,8178.3,Car Rental,5348.0,4813.2,5348.0,4813.2,5848.28,5848.28,20283.28,18839.78
Dubai,AED,November,22.5,Hotel,Adventure,Family Traveler,cultural,11,7980.0,7182.0,354.67,319.2,Car Rental,7874.0,7086.6,349.96,314.96,4313.19,191.7,20167.19,18581.79
Barcelona,EUR,June,90.0,Hostel,Leisure,Luxury Traveler,"romantic, solo",3,11780.4,8835.3,130.89,98.17,Car Rental,2799.6,2099.7,31.11,23.33,1130.36,12.56,15710.36,12065.36
New York,USD,August,83.0,Hostel,Business,Luxury Traveler,"solo, romantic",11,2187.0,1968.3,26.35,23.71,Flight,11638.0,10474.2,140.22,126.2,2061.0,24.83,15886.0,14503.5
Istanbul,EUR,May,90.0,Resort,Adventure,Luxury Traveler,"family, cultural, romantic",10,20077.2,15057.9,223.08,167.31,Bus,18000.0,13500.0,200.0,150.0,2606.38,28.96,40683.57999999999,31164.28
New York,USD,March,83.0,Resort,Business,Family Traveler,family,14,18342.0,16507.8,220.99,198.89,Train,14987.0,13488.3,180.57,162.51,4743.78,57.15,38072.78,34739.88
Tokyo,JPY,January,0.55,Resort,Leisure,Family Traveler,"cultural, solo",11,14827.4,15699.6,26958.91,28544.73,Flight,3695.8,3913.2,6719.64,7114.91,6913.06,12569.2,25436.26,26525.86
Cape Town,ZAR,January,4.5,Resort,Pilgrimage,Family Traveler,family,3,16580.1,17555.4,3684.47,3901.2,Train,9091.6,9626.4,2020.36,2139.2,6600.25,1466.72,32271.95,33782.05
Leh,INR,May,1.0,Resort,Business,Backpacker,"romantic, family, adventure",5,14280.0,10710.0,14280.0,10710.0,Train,8274.0,6205.5,8274.0,6205.5,7301.22,7301.22,29855.22,24216.72
Istanbul,EUR,March,90.0,Airbnb,Leisure,Backpacker,family,15,8074.0,7266.6,89.71,80.74,Flight,3919.0,3527.1,43.54,39.19,1766.28,19.63,13759.28,12559.98
Singapore,SGD,October,62.0,Hotel,Adventure,Business Traveler,"romantic, solo",12,8147.0,7332.3,131.4,118.26,Car Rental,14235.0,12811.5,229.6,206.64,2740.07,44.19,25122.07,22883.87
Kerala,INR,July,1.0,Hostel,Pilgrimage,Backpacker,"romantic, solo, adventure",5,2138.0,1924.2,2138.0,1924.2,Car Rental,10456.0,9410.4,10456.0,9410.4,4502.67,4502.67,17096.67,15837.27
Goa,INR,December,1.0,Hotel,Leisure,Business Traveler,"romantic, adventure",5,15808.8,11856.6,15808.8,11856.6,Flight,10927.2,8195.4,10927.2,8195.4,3754.26,3754.26,30490.26,23806.26
Paris,EUR,March,90.0,Airbnb,Leisure,Budget Traveler,"solo, romantic, family",6,2125.0,1912.5,23.61,21.25,Bus,8929.0,8036.1,99.21,89.29,2377.52,26.42,13431.52,12326.12
Barcelona,EUR,April,90.0,Resort,Adventure,Backpacker,adventure,13,16176.0,14558.4,179.73,161.76,Car Rental,11007.0,9906.3,122.3,110.07,7171.85,79.69,34354.85,31636.55
Dubai,AED,October,22.5,Hostel,Pilgrimage,Business Traveler,family,9,4465.0,4018.5,198.44,178.6,Train,11280.0,10152.0,501.33,451.2,4175.03,185.56,19920.03,18345.53
New York,USD,May,83.0,Airbnb,Adventure,Budget Traveler,"romantic, family, cultural",7,16062.0,12046.5,193.52,145.14,Train,15292.8,11469.6,184.25,138.19,1754.6,21.14,33109.4,25270.7
Jaipur,INR,July,1.0,Hostel,Leisure,Business Traveler,"romantic, family",4,7089.0,6380.1,7089.0,6380.1,Train,8542.0,7687.8,8542.0,7687.8,2616.67,2616.67,18247.67,16684.57
Rishikesh,INR,November,1.0,Hotel,Adventure,Family Traveler,"family, solo",4,11880.0,10692.0,11880.0,10692.0,Train,3649.0,3284.1,3649.0,3284.1,6679.02,6679.02,22208.02,20655.12
Rome,EUR,April,90.0,Airbnb,Business,Luxury Traveler,"romantic, family, cultural",4,5406.0,4865.4,60.07,54.06,Flight,8933.0,8039.7,99.26,89.33,3331.38,37.02,17670.38,16236.48
London,GBP,March,105.0,Airbnb,Business,Backpacker,family,7,17530.0,15777.0,166.95,150.26,Car Rental,3156.0,2840.4,30.06,27.05,1154.41,10.99,21840.41,19771.81
Tokyo,JPY,April,0.55,Airbnb,Pilgrimage,Budget Traveler,"family, cultural",4,4144.0,3729.6,7534.55,6781.09,Bus,12915.0,11623.5,23481.82,21133.64,4697.01,8540.02,21756.01,20050.11
Kerala,INR,December,1.0,Airbnb,Pilgrimage,Family Traveler,romantic,6,16496.4,12372.3,16496.4,12372.3,Flight,6920.4,5190.3,6920.4,5190.3,2967.4,2967.4,26384.2,20530.0
Barcelona,EUR,September,90.0,Airbnb,Leisure,Family Traveler,cultural,5,5619.35,5949.9,62.44,66.11,Bus,10874.9,11514.6,120.83,127.94,5911.42,65.68,22405.67,23375.92
Rishikesh,INR,September,1.0,Hostel,Adventure,Business Traveler,"solo, cultural, family",4,10156.65,10754.1,10156.65,10754.1,Bus,6101.3,6460.2,6101.3,6460.2,4941.44,4941.44,21199.39,22155.74
Paris,EUR,February,90.0,Resort,Business,Budget Traveler,family,14,10123.5,10719.0,112.48,119.1,Flight,5762.15,6101.1,64.02,67.79,2988.32,33.2,18873.97,19808.42
Barcelona,EUR,August,90.0,Hostel,Leisure,Budget Traveler,"romantic, family",9,11528.0,10375.2,128.09,115.28,Car Rental,7824.0,7041.6,86.93,78.24,1535.64,17.06,20887.64,18952.44
Istanbul,EUR,November,90.0,Airbnb,Leisure,Backpacker,"solo, adventure",4,9763.0,8786.7,108.48,97.63,Train,7767.0,6990.3,86.3,77.67,4485.47,49.84,22015.47,20262.47
Rishikesh,INR,February,1.0,Resort,Business,Budget Traveler,"adventure, cultural, solo",15,14328.45,15171.3,14328.45,15171.3,Car Rental,12268.9,12990.6,12268.9,12990.6,5431.07,5431.07,32028.42,33592.97
Manali,INR,May,1.0,Resort,Pilgrimage,Budget Traveler,"solo, adventure, family",5,5901.6,4426.2,5901.6,4426.2,Bus,12703.2,9527.4,12703.2,9527.4,4624.07,4624.07,23228.87,18577.67
New York,USD,August,83.0,Hotel,Adventure,Luxury Traveler,"romantic, cultural, solo",4,10470.0,9423.0,126.14,113.53,Car Rental,1733.0,1559.7,20.88,18.79,7540.76,90.85,19743.76,18523.46
Bangkok,THB,January,2.4,Hostel,Business,Backpacker,"family, romantic, solo",4,8954.75,9481.5,3731.15,3950.62,Car Rental,6720.95,7116.3,2800.4,2965.12,7760.91,3233.71,23436.61,24358.71
Singapore,SGD,August,62.0,Airbnb,Adventure,Family Traveler,"solo, romantic, cultural",10,13019.0,11717.1,209.98,188.99,Train,6109.0,5498.1,98.53,88.68,3768.3,60.78,22896.3,20983.5
Manali,INR,October,1.0,Airbnb,Business,Budget Traveler,cultural,9,13555.0,12199.5,13555.0,12199.5,Bus,7927.0,7134.3,7927.0,7134.3,2702.51,2702.51,24184.51,22036.31
Cape Town,ZAR,September,4.5,Airbnb,Adventure,Family Traveler,"adventure, family",6,6881.6,7286.4,1529.24,1619.2,Train,3918.5,4149.0,870.78,922.0,1812.01,402.67,12612.11,13247.41
Sydney,AUD,December,55.0,Airbnb,Business,Business Traveler,"adventure, family",4,16742.4,12556.8,304.41,228.31,Car Rental,13941.6,10456.2,253.48,190.11,6168.57,112.16,36852.57,29181.57
Leh,INR,June,1.0,Hotel,Pilgrimage,Business Traveler,"family, adventure",14,13006.8,9755.1,13006.8,9755.1,Flight,6254.4,4690.8,6254.4,4690.8,4902.08,4902.08,24163.28,19347.98
Jaipur,INR,July,1.0,Airbnb,Pilgrimage,Backpacker,"family, romantic",8,14154.0,12738.6,14154.0,12738.6,Flight,4976.0,4478.4,4976.0,4478.4,6337.57,6337.57,25467.57,23554.57
Cape Town,ZAR,October,4.5,Resort,Adventure,Backpacker,"adventure, family, solo",13,13039.0,11735.1,2897.56,2607.8,Train,9733.0,8759.7,2162.89,1946.6,6827.91,1517.31,29599.91,27322.71
Bangkok,THB,December,2.4,Airbnb,Adventure,Family Traveler,"family, solo",12,13280.4,9960.3,5533.5,4150.12,Flight,4186.8,3140.1,1744.5,1308.38,4383.54,1826.48,21850.74,17483.94
Rishikesh,INR,February,1.0,Hostel,Business,Budget Traveler,"adventure, cultural, family",14,11621.2,12304.8,11621.2,12304.8,Bus,4789.75,5071.5,4789.75,5071.5,3803.14,3803.14,20214.09,21179.44
Sydney,AUD,June,55.0,Resort,Business,Backpacker,adventure,7,21848.4,16386.3,397.24,297.93,Flight,6944.4,5208.3,126.26,94.7,1148.74,20.89,29941.54,22743.34
Dubai,AED,May,22.5,Airbnb,Leisure,Budget Traveler,"adventure, cultural",15,20560.8,15420.6,913.81,685.36,Flight,10273.2,7704.9,456.59,342.44,4373.73,194.39,35207.73,27499.23
Goa,INR,July,1.0,Hostel,Adventure,Backpacker,adventure,4,13587.0,12228.3,13587.0,12228.3,Train,14059.0,12653.1,14059.0,12653.1,7878.85,7878.85,35524.85,32760.25
Barcelona,EUR,February,90.0,Hostel,Leisure,Budget Traveler,"solo, family",7,11798.0,12492.0,131.09,138.8,Train,11390.85,12060.9,126.56,134.01,1239.56,13.77,24428.41,25792.46
Leh,INR,June,1.0,Airbnb,Leisure,Budget Traveler,cultural,6,5860.8,4395.6,5860.8,4395.6,Flight,16683.6,12512.7,16683.6,12512.7,6893.17,6893.17,29437.57,23801.47
Kerala,INR,May,1.0,Airbnb,Business,Family Traveler,romantic,10,19748.4,14811.3,19748.4,14811.3,Bus,6847.2,5135.4,6847.2,5135.4,6102.81,6102.81,32698.41,26049.51
London,GBP,August,105.0,Airbnb,Pilgrimage,Family Traveler,"romantic, adventure",12,18515.0,16663.5,176.33,158.7,Bus,4576.0,4118.4,43.58,39.22,6055.63,57.67,29146.63,26837.53
Sydney,AUD,May,55.0,Airbnb,Adventure,Luxury Traveler,cultural,9,13549.2,10161.9,246.35,184.76,Car Rental,4480.8,3360.6,81.47,61.1,7339.16,133.44,25369.16,20861.66
Kerala,INR,October,1.0,Hostel,Leisure,Budget Traveler,"family, romantic, solo",7,3377.0,3039.3,3377.0,3039.3,Flight,4894.0,4404.6,4894.0,4404.6,6924.07,6924.07,15195.07,14367.97
Barcelona,EUR,January,90.0,Hostel,Leisure,Backpacker,"solo, family, adventure",15,12996.5,13761.0,144.41,152.9,Bus,10491.55,11108.7,116.57,123.43,6956.09,77.29,30444.14,31825.79
Istanbul,EUR,November,90.0,Hostel,Business,Luxury Traveler,"solo, adventure, cultural",6,17860.0,16074.0,198.44,178.6,Flight,13612.0,12250.8,151.24,136.12,5759.44,63.99,37231.44,34084.24
Kerala,INR,July,1.0,Resort,Leisure,Luxury Traveler,cultural,6,2552.0,2296.8,2552.0,2296.8,Car Rental,8607.0,7746.3,8607.0,7746.3,6536.95,6536.95,17695.95,16580.05
Kerala,INR,November,1.0,Resort,Business,Luxury Traveler,"cultural, family, adventure",3,2893.0,2603.7,2893.0,2603.7,Flight,10413.0,9371.7,10413.0,9371.7,7049.33,7049.33,20355.33,19024.73
Dubai,AED,August,22.5,Hostel,Adventure,Backpacker,"solo, cultural, romantic",8,12369.0,11132.1,549.73,494.76,Bus,5428.0,4885.2,241.24,217.12,7294.04,324.18,25091.04,23311.34
Rome,EUR,December,90.0,Hotel,Business,Family Traveler,"adventure, family, cultural",6,9667.2,7250.4,107.41,80.56,Train,12088.8,9066.6,134.32,100.74,4277.14,47.52,26033.14,20594.14
Cape Town,ZAR,December,4.5,Airbnb,Leisure,Business Traveler,"romantic, solo, family",3,12718.8,9539.1,2826.4,2119.8,Flight,14048.4,10536.3,3121.87,2341.4,2058.42,457.43,28825.62,22133.82
Goa,INR,November,1.0,Airbnb,Leisure,Luxury Traveler,"adventure, family, romantic",8,8266.0,7439.4,8266.0,7439.4,Train,11692.0,10522.8,11692.0,10522.8,6876.73,6876.73,26834.73,24838.93
